Frente,Verso
O que é componentização em Flutter e por que é importante?,"Componentização em Flutter é o processo de dividir a interface em widgets menores e reutilizáveis. Benefícios: reutilização de código (DRY), melhor organização e manutenção, código mais limpo e separação de responsabilidades, facilita testes unitários."
Qual a diferença entre ListView e GridView em Flutter e quando usar cada um?,"ListView: organiza elementos em lista linear (vertical ou horizontal), ideal para listas simples, suporta rolagem infinita. GridView: organiza elementos em grade (múltiplas colunas/linhas), ideal para galerias e dashboards, permite visualizar mais conteúdo na mesma tela."
Como detectar e resolver problemas de overflow em Flutter?,"Detecção: erro ""A RenderFlex overflowed..."", faixas amarelas/pretas na tela. Soluções: usar Expanded/Flexible, SingleChildScrollView, TextOverflow.ellipsis, FittedBox, ou ajustar tamanhos e paddings."
Como usar BoxDecoration para estilizar containers em Flutter?,"BoxDecoration permite estilizar Containers com: cor de fundo (color), bordas (border), arredondamento (borderRadius), gradientes (gradient), sombras (boxShadow) e imagens de fundo (image)."
Como personalizar um LinearProgressIndicator em Flutter?,"Para personalizar: defina value (0.0 a 1.0), backgroundColor (fundo da barra), valueColor com AlwaysStoppedAnimation<Color> (cor da barra), ajuste altura com Container, e defina se a animação é determinada ou indeterminada."
Como usar Row/Column com Expanded e flex para criar layouts proporcionais?,"Row/Column com Expanded e flex permitem distribuir espaço disponível proporcionalmente entre widgets. Widgets sem Expanded mantêm tamanho original, widgets com Expanded compartilham espaço, e o valor do flex define a proporção."
O que é o widget SafeArea e quando usá-lo em Flutter?,"SafeArea insere padding suficiente para evitar áreas de sistema (notch, barra de status, navegação). Use quando o conteúdo precisa ser totalmente visível, não está usando AppBar, ou o conteúdo se estende até as bordas."
Qual a diferença entre MainAxisAlignment e CrossAxisAlignment no Flutter?,"MainAxisAlignment define alinhamento no eixo principal (horizontal em Row, vertical em Column). CrossAxisAlignment define alinhamento no eixo cruzado (perpendicular ao principal - vertical em Row, horizontal em Column)."
Como e por que usar SizedBox para espaçamento em Flutter?,"SizedBox é usado para criar espaçamentos precisos entre widgets, definir dimensões exatas, e criar espaços vazios. É mais legível que Padding para espaços simples e mais eficiente que Container vazio."
Qual a melhor forma de reutilizar widgets em diferentes partes do app Flutter?,"Para reutilizar widgets: crie pasta shared/widgets para componentes multifuncionais, parametrize widgets com construtores customizáveis, use composição em vez de herança, separe lógica de UI, e implemente construtor const para melhor performance."
O que é o modificador required em Flutter e quando usá-lo?,"O modificador required marca parâmetros nomeados como obrigatórios, faz o compilador verificar se o parâmetro foi fornecido, é parte do null safety, e substitui @required de versões anteriores. Use para parâmetros essenciais que não podem ser null."
Como usar getters para lidar com seletores condicionais de estilo em Flutter?,"Getters são úteis para encapsular lógica condicional de estilo, deixar o código mais limpo, centralizar mudanças baseadas em estados, e evitar repetição de código de estilo."
Quais são os principais componentes da página de desafio (Challenge Page) em Flutter?,"A Challenge Page é composta por: QuestionIndicatorWidget (barra superior mostrando progresso e número da questão), QuizWidget (componente principal que exibe a pergunta), AnswerWidget (componente para cada alternativa de resposta)."
Como implementar um QuestionIndicatorWidget com indicador de progresso no Flutter?,"O QuestionIndicatorWidget combina: texto indicando o número da questão atual e total, barra de progresso indicando avanço, e é colocado dentro de SafeArea para evitar áreas de sistema. Use Row com MainAxisAlignment.spaceBetween e reutilize o ProgressIndicatorWidget."
Como implementar um widget de resposta interativo (AnswerWidget) com feedback visual?,"AnswerWidget precisa: exibir o texto da alternativa, detectar seleção do usuário, mostrar feedback visual (cores diferentes para resposta certa/errada), e exibir ícone quando selecionado. Principais atributos: title (texto), isRight (se é correta), isSelected (se foi selecionada)."
Qual a melhor forma de organizar a estrutura de pastas para widgets em um projeto Flutter?,"Organize por feature/página (widgets específicos na pasta da feature), coloque widgets compartilhados em pasta shared, use nomenclatura consistente (_widget), e mantenha classes de suporte junto com o widget relacionado."
Qual a diferença entre spaceAround e spaceBetween no MainAxisAlignment do Flutter?,"spaceAround: Distribui espaço ao redor dos widgets, com o primeiro e o último tendo metade do espaço nas extremidades. spaceBetween: Distribui espaço somente entre os widgets, com o primeiro e o último colados às extremidades."
O que o widget Expanded faz no Flutter?,"Expanded faz com que um widget ocupe o máximo de espaço disponível dentro de um Row, Column ou Flex. Ele ajusta automaticamente o tamanho do filho, respeitando outros widgets na linha/coluna."
Quando usar Expanded em Flutter?,"Use Expanded quando quiser que um widget cresça automaticamente para ocupar espaço disponível dentro de um Row ou Column, sem precisar definir tamanhos fixos. Isso permite criar layouts responsivos."
Como controlar a proporção de espaço ocupado por Expanded?,"Use a propriedade flex para definir a proporção do espaço que cada Expanded ocupa. Por exemplo, com flex: 2 e flex: 1, o primeiro widget ocupará o dobro do espaço do segundo."
Para que serve o SafeArea no Flutter?,"O SafeArea protege o conteúdo da tela, evitando que fique escondido atrás da barra de status, notch ou barra de navegação inferior. É muito útil para telas fullscreen."
Como usar o SafeArea no Flutter?,"Basta envolver o widget principal com SafeArea. Por exemplo: SafeArea(child: Column(children: [Text(""Estou seguro!"")]))."
O SafeArea sempre adiciona espaçamento em todos os lados?,"Não. Por padrão, ele adiciona espaçamento apenas onde for necessário. Você pode personalizar com minimum ou desativar lados específicos com left, top, right e bottom." 
